Num; xash;
754; 0;
755; 0;
756; 0;
757; 0;
758; 0;
759; 0;
760; 0;
761; 0;
762; 0;
763; 0;
764; 0;
765; 0;
766; 0;
767; 0;
768; 5;
769; 2;
770; 9;
771; 3;
772; 6;
773; 1;
774; 5;
775; 2;
776; 3;
777; 3;
778; 6;
779; 3;
780; 4;
781; 6;
782; 5;
783; 5;
784; 7;
785; 5;
786; 4;
787; 0;
788; 1;
789; 8;
790; 6;
791; 7;
792; 7;
793; 4;
794; 9;
795; 3;
796; 4;
797; 2;
798; 2;
799; 8;
800; 4;
801; 4;
802; 2;
803; 2;
804; 0;
805; 3;
806; 9;
807; 1;
808; 4;
809; 4;
810; 3;
811; 4;
812; 5;
813; 8;
814; 4;
815; 3;
816; 2;
817; 4;
818; 2;
819; 4;
820; 0;
821; 5;
822; 4;
823; 1;
824; 5;
825; 4;
826; 2;
827; 4;
828; 2;
829; 5;
830; 4;
831; 5;
832; 4;
833; 7;
834; 3;
835; 6;
836; 3;
837; 3;
838; 4;
839; 2;
840; 8;
841; 9;
842; 4;
843; 8;
844; 1;
845; 4;
846; 6;
847; 4;
848; 7;
849; 6;
850; 7;
851; 4;
852; 3;
853; 7;
854; 8;
855; 3;
856; 1;
857; 3;
858; 5;
859; 4;
860; 9;
861; 2;
862; 2;
863; 5;
864; 3;
865; 3;
866; 2;
867; 1;
868; 6;
869; 1;
870; 3;
871; 7;
872; 4;
873; 4;
874; 3;
875; 3;
876; 3;
877; 7;
878; 1;
879; 3;
880; 2;
881; 1;
882; 4;
883; 1;
884; 6;
885; 3;
886; 3;
887; 5;
888; 5;
889; 3;
890; 6;
891; 5;
892; 5;
893; 2;
894; 5;
895; 4;
896; 2;
897; 7;
898; 7;
899; 6;
900; 7;
901; 3;
902; 3;
903; 4;
904; 6;
905; 4;
906; 7;
907; 3;
908; 4;
909; 2;
910; 5;
911; 7;
912; 2;
913; 2;
914; 5;
915; 5;
916; 2;
917; 2;
918; 2;
919; 5;
920; 6;
921; 5;
922; 2;
923; 2;
924; 8;
925; 5;
926; 3;
927; 5;
928; 4;
929; 1;
930; 2;
931; 0;
932; 5;
933; 0;
934; 1;
935; 2;
936; 5;
937; 2;
938; 1;
939; 2;
940; 2;
941; 3;
942; 0;
943; 2;
944; 4;
945; 1;
946; 6;
947; 2;
948; 6;
949; 3;
950; 2;
951; 2;
952; 4;
953; 3;
954; 3;
955; 1;
956; 1;
957; 1;
958; 0;
959; 3;
960; 0;
961; 0;
962; 0;
963; 0;
964; 0;
965; 0;
966; 0;
967; 0;
968; 0;
969; 0;
970; 0;
971; 0;
972; 0;
973; 0;
974; 0;
975; 0;
976; 0;
977; 0;
978; 0;
979; 0;
980; 0;
981; 0;
982; 0;
983; 0;
984; 0;
985; 0;
986; 0;
987; 0;
988; 0;
989; 0;
990; 0;
991; 0;
992; 2;
993; 1;
994; 5;
995; 1;
996; 0;
997; 2;
998; 1;
999; 4;
