Num; xash;
532; 0;
533; 2;
534; 2;
535; 2;
536; 6;
537; 1;
538; 3;
539; 3;
540; 1;
541; 0;
542; 3;
543; 3;
544; 2;
545; 2;
546; 1;
547; 2;
548; 5;
549; 2;
550; 0;
551; 2;
552; 4;
553; 0;
554; 4;
555; 3;
556; 3;
557; 2;
558; 3;
559; 0;
560; 5;
561; 3;
562; 2;
563; 2;
564; 3;
565; 4;
566; 2;
567; 4;
568; 0;
569; 0;
570; 2;
571; 4;
572; 1;
573; 6;
574; 2;
575; 3;
576; 4;
577; 3;
578; 2;
579; 0;
580; 2;
581; 2;
582; 3;
583; 1;
584; 3;
585; 3;
586; 4;
587; 1;
588; 1;
589; 2;
590; 4;
591; 1;
592; 3;
593; 1;
594; 5;
595; 4;
596; 2;
597; 0;
598; 1;
599; 3;
600; 1;
601; 3;
602; 5;
603; 3;
604; 5;
605; 2;
606; 5;
607; 2;
608; 3;
609; 5;
610; 1;
611; 4;
612; 3;
613; 1;
614; 4;
615; 2;
616; 1;
617; 2;
618; 2;
619; 3;
620; 3;
621; 4;
622; 2;
623; 3;
624; 4;
625; 0;
626; 3;
627; 3;
628; 2;
629; 2;
630; 0;
631; 0;
632; 4;
633; 5;
634; 3;
635; 0;
636; 3;
637; 3;
638; 4;
639; 4;
640; 0;
641; 7;
642; 1;
643; 1;
644; 1;
645; 2;
646; 4;
647; 1;
648; 1;
649; 1;
650; 5;
651; 2;
652; 2;
653; 2;
654; 3;
655; 5;
656; 4;
657; 3;
658; 3;
659; 1;
660; 1;
661; 2;
662; 3;
663; 3;
664; 2;
665; 3;
666; 6;
667; 2;
668; 3;
669; 5;
670; 1;
671; 2;
672; 3;
673; 2;
674; 2;
675; 4;
676; 1;
677; 2;
678; 1;
679; 1;
680; 3;
681; 3;
682; 3;
683; 6;
684; 7;
685; 1;
686; 1;
687; 3;
688; 4;
689; 2;
690; 1;
691; 2;
692; 3;
693; 3;
694; 4;
695; 3;
696; 2;
697; 0;
698; 3;
699; 3;
700; 4;
701; 3;
702; 3;
703; 2;
704; 4;
705; 1;
706; 2;
707; 5;
708; 5;
709; 0;
710; 1;
711; 1;
712; 3;
713; 3;
714; 2;
715; 6;
716; 3;
717; 3;
718; 3;
719; 1;
720; 2;
721; 1;
722; 1;
723; 2;
724; 2;
725; 1;
726; 2;
727; 2;
728; 4;
729; 3;
730; 2;
731; 2;
732; 1;
733; 5;
734; 3;
735; 0;
736; 2;
737; 3;
738; 1;
739; 7;
740; 1;
741; 1;
742; 2;
743; 3;
744; 1;
